Week,Task Name,Repo,Category,Priority,Status,Hours,Difficulty,Learning Objectives,Deliverable
1,Read tiny-gpu README thoroughly,tiny-gpu,GPU Architecture,Critical,Not Started,4,Beginner,Understand GPU architecture components,Architecture notes
1,Run tiny-gpu simulations,tiny-gpu,GPU Architecture,Critical,Not Started,2,Beginner,Execute matrix addition and multiplication kernels,Working simulation
1,Watch CUDA MODE Lecture 1,CUDA MODE,Theory,High,Not Started,2,Beginner,Learn profiling CUDA kernels in PyTorch,Lecture notes
1,Watch CUDA MODE Lecture 2,CUDA MODE,Theory,High,Not Started,2,Beginner,PMPP Book Ch 1-3 recap,Lecture notes
2,Draw GPU architecture from memory,tiny-gpu,GPU Architecture,Critical,Not Started,2,Intermediate,Solidify architecture understanding,Hand-drawn diagram
2,Study tiny-gpu scheduler,tiny-gpu,GPU Architecture,High,Not Started,3,Intermediate,Understand instruction scheduling,Scheduler analysis
2,Watch CUDA MODE Lecture 3,CUDA MODE,Theory,Critical,Not Started,2,Beginner,Getting started with CUDA (Jeremy Howard),Code examples
2,Watch CUDA MODE Lecture 4,CUDA MODE,Theory,High,Not Started,2,Intermediate,Compute and memory architecture,Architecture notes
2,Understand memory controllers,tiny-gpu,GPU Architecture,High,Not Started,2,Intermediate,Learn async memory request handling,Memory flow diagram
3,Study systolic array implementation,tensor-core,Hardware Design,Critical,Not Started,4,Advanced,Understand matrix processor design,Systolic array notes
3,Analyze MAC units,tensor-core,Hardware Design,High,Not Started,3,Advanced,Learn multiply-accumulate operations,MAC unit diagram
3,Watch CUDA MODE Lecture 5,CUDA MODE,Theory,High,Not Started,2,Intermediate,CUDA for Python Programmers,Code examples
4,Understand DRAM FSM,tensor-core,Hardware Design,High,Not Started,3,Advanced,Learn memory access state machines,FSM diagram
4,Study memory arbiter,tensor-core,Hardware Design,High,Not Started,3,Advanced,Understand request arbitration,Arbiter analysis
4,Create tensor core architecture diagram,tensor-core,Hardware Design,Critical,Not Started,2,Advanced,Synthesize understanding,Complete architecture diagram
5,Vector Addition in CUDA,LeetGPU,Kernel Programming,Critical,Not Started,2,Beginner,Learn basic CUDA kernel structure,Working CUDA code
5,Matrix Multiplication in CUDA,LeetGPU,Kernel Programming,Critical,Not Started,3,Beginner,Understand 2D thread indexing,Working CUDA code
